ISBN;title;author;year;publisher
913154;The Way Things Work: An Illustrated Encyclopedia of Technology;C. van Amerongen (translator);1967;"Simon &amp; Schuster"
1010565;Mog's Christmas;Judith Kerr;1992;Collins
1046438;Liar;Stephen Fry;Unknown;Harpercollins Uk
1046713;Twopence to Cross the Mersey;Helen Forrester;1992;HarperCollins Publishers
1046934;The Prime of Miss Jean Brodie;Muriel Spark;1999;Trafalgar Square Publishing
1047213;The Fighting Man;Gerald Seymour;1993;HarperCollins Publishers
1047647;First Among Equals;Jeffrey Archer;2000;Trafalgar Square Books
1047663;Matter Of Honour;Jeffrey Archer;2000;Trafalgar Square Books
1047868;Kidnapped;Robert Louis Stevenson;1999;Trafalgar Square Publishing
1047973;Brave New World;Aldous Huxley;1999;Trafalgar Square Publishing
1048082;Made in America;Bill Bryson;1995;HarperCollins Publishers
1048473;Nothing Can Be Better;"Barns &amp; Budd";1996;Atlantic
1049879;Daughters of the Storm;Elizabeth Buchan;1996;HarperCollins Publishers
1052039;Dark Spectre;Michael Dibdin;1997;HarperCollins Publishers
1053736;Sir Gawain and the Green Knight;J. R. R. Tolkien;1999;HarperCollins UK
1053744;Pearl and Sir Orfeo;J. R. R. Tolkien;1999;Trafalgar Square Publishing
1055607;Cereus Blooms At Night;Shani Mootoo;Unknown;Fairmount Books Ltd Remainders
1056107;Farmer Giles of Ham: And Other Stories;J. R. R. Tolkien;1999;Trafalgar Square
1061127;CHESS FOR YOUNG BEGINNERS;William T. McLeod;1975;HarperCollins Publishers
1232088;Paddington in the Kitchen;Michael Bond;1942;HarperCollins Publishers
1360469;Babe Dressing;Mandy Stanley;1997;HarperCollins Publishers
1372564;Which Colour?;Sue Dreamer;1989;HarperCollins Publishers
1374362;"When It's Time for Bed (Collins Baby &amp; Toddler S.)";Nick Butterworth;1994;Collins
1374869;Baby Plays (Collins Baby and Toddler Series);Fiona Pragoff;1994;HarperCollins Publishers
1382381;Huck Scarry's Steam Train Journey;Huck Scarry;1979;HarperCollins Publishers
1382608;On the Road;Huck Scarry;1981;HarperCollins Publishers
1711105;The Book of Riddles (Beginner Books);Bennett Cerf;1983;HarperCollins Publishers
1711253;The Big Honey Hunt;Stan Berenstein;1942;HarperCollins Publishers
1714236;Spooky Riddles;Mark Brown;1984;HarperCollins Publishers
1714600;I Want to Be Somebody New! (I Can Read It All by Myself);Robert Lopshire;1986;HarperCollins Publishers
1718126;ARE YOU MY MOTHER MINI PB (EXPORT);Seuss;1993;HarperCollins Publishers
1811150;Day Time (Step by Step);Diane Wilmer;1987;HarperCollins Publishers
1811819;Paddington and the Marmalade Maze (Paddington First Books);Michael Bond;1987;HarperCollins Publishers
1821326;Paddington at the Tower (A Paddington Picture Book);Michael Bond;1976;Collin
1821504;The Adventures of Paddington;Michael Bond;1970;HarperCollins Publishers
1837397;Autumn Story Brambly Hedge;Jill Barklem;Unknown;William Collins Sons Co Ltd
1840517;Bess;Robert Leeson;1975;Collins
1841572;Red Shift;Alan Garner;1973;Collins
1842749;The Growing Summer;Noel Streatfeild;1984;HarperCollins Publishers
1845039;The Moon of Gomrath;Alan Garner;1983;HarperCollins Publishers
1846086;There Will Be a Next Time;Tony Drake;1984;HarperCollins Publishers
1848445;THE COAL HOUSE T/PB;Andrew Taylor;1986;HarperCollins Publishers
1848461;SONG OF THE CITY CSD;Gareth Owen;1987;HarperCollins Publishers
1850121;A place called Lantern Light;Ellen Miller;1975;Collins
1856367;The Collins Book of Ballet and Dance;Jean Ure;1996;HarperCollins Publishers
1857258;Little Wolf's Book of Badness;Ian Whybrow;1999;Collins
1900277;Glue (First Facts - First Skills);Harriet Hains;1989;HarperCollins Publishers
1935968;The Brambly Hedge Treasury;Jill Barklem;1991;HarperCollins Publishers
1939203;The Collins Book of Nursery Tales;Jonathan Langley;1993;HarperCollins Publishers
1941941;Little Grey Rabbit's Christmas (Collins Colour Cubs);Alison Uttley;1978;HarperCollins Publishers
1941968;Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs);Alison Uttley;1978;HarperCollins Publishers
